id,rackTotCnt,stationLatitude,stationLongitude,distance_hanriver,distance_bikeroad,distance_subway,distance_school_mid,distance_school_high,distance_school_univ,PopTot
548,22,37.53,127.06,527,3909,739,642,673,1469,103524
549,12,37.56,127.06,3049,3944,114,257,222,1433,81059
550,17,37.56,127.06,5132,1367,354,643,936,1761,24035
551,12,37.53,127.1,1735,3645,549,612,638,1639,81059
552,12,37.53,127.06,1505,3558,225,587,925,1634,81059
553,21,37.56,127.06,4394,2880,713,643,1176,2216,86682
555,11,37.53,127.06,1657,3688,378,866,915,1512,81059
556,22,37.53,127,1637,1269,271,723,1058,2520,27222
3514,12,37.56,127,4339,3602,378,1209,305,2131,27767
558,22,37.56,127.06,4415,1041,373,869,884,1087,41103
559,12,37.56,127.06,4062,1086,32,569,539,839,41103
560,10,37.56,127.06,2431,3840,620,1627,1656,412,11428
276,12,37.53,126.94,2182,3783,533,317,402,847,51979
562,12,37.56,127.06,3347,2293,587,853,1470,813,11428
266,12,37.53,126.9,1949,3939,442,446,1366,193,51979
284,14,37.53,126.9,2175,3703,563,563,1203,170,51979
565,22,37.53,127,1562,1413,32,480,935,2415,27222
277,12,37.53,126.9,1973,3912,287,795,1044,186,51979
520,12,37.56,127,4174,1590,112,708,418,1488,17744
569,12,37.56,127,2660,1694,377,371,872,1401,16188
571,22,37.56,127.06,2192,4175,59,1117,1150,395,22109
572,22,37.56,127.06,3531,3376,203,229,298,1884,86682
573,12,37.53,127.06,2253,3866,888,567,596,786,11978
574,42,37.56,127.06,3067,3859,68,260,229,1367,11978
575,12,37.56,127.06,3432,3412,294,268,203,1814,86682
576,12,37.53,127.1,1356,3365,83,349,452,617,36083
577,12,37.53,127.1,1168,3417,268,390,702,462,36083
578,10,37.56,127.06,2192,3154,672,1022,1257,1086,11428
579,10,37.56,127.06,4648,575,144,388,367,881,24035
581,12,37.56,127.06,3751,653,678,974,1056,482,13290
239,22,37.53,126.9,1327,4548,386,919,1163,698,51979
583,22,37.56,127.06,4713,402,400,444,783,1023,24035
584,22,37.56,127.06,2082,3973,179,805,1103,460,22109
283,17,37.53,126.94,1738,4186,181,1021,1070,485,51979
586,12,37.56,127.06,4567,301,213,432,521,908,24035
244,22,37.53,126.9,892,4628,589,279,1056,1189,51979
287,12,37.53,126.9,1358,4541,343,719,1321,725,51979
590,22,37.53,127.06,1239,3795,372,494,469,427,25537
591,7,37.53,127.06,1601,4032,605,805,535,84,25537
592,32,37.53,127.06,1598,4207,763,755,318,165,25537
593,7,37.53,127.06,795,4191,1032,824,659,1600,103524
594,17,37.56,127.06,3396,1022,699,1374,1333,665,13290
600,12,37.6,127.06,6727,2890,825,663,536,1091,41576
601,12,37.56,127.06,5633,1106,326,676,932,1621,32144
602,12,37.56,127.06,4763,2208,1355,616,712,1718,72198
604,17,37.56,127.06,4623,883,422,643,1161,1319,60269
605,10,37.56,127,5242,1561,271,506,419,1711,32144
606,17,37.6,127.06,6141,3001,1224,114,91,1016,41576
607,12,37.6,127.06,8148,3352,111,611,803,963,43485
608,12,37.6,127.06,5896,1753,971,286,180,427,51065
609,22,37.6,127.06,7065,229,308,760,554,550,27364
610,12,37.56,127.06,5080,1009,679,181,654,1345,60269
612,22,37.56,127,5246,1441,619,914,714,1797,32144
613,12,37.56,127,5335,1637,121,383,270,1422,32144
614,22,37.56,127,5687,1024,351,501,583,1350,32144
615,22,37.56,127.06,5625,1060,199,571,954,1524,32144
616,22,37.6,127.06,6049,1634,866,675,270,423,51065
617,22,37.56,127.06,5081,1356,921,471,846,1090,60269
249,10,37.53,126.94,280,5215,460,61,211,2690,34598
250,12,37.5,126.94,2337,3033,702,520,385,2843,95641
251,12,37.5,126.94,2695,2689,520,212,335,2927,95641
252,12,37.5,126.94,3239,2171,59,723,272,1337,95641
253,12,37.5,126.94,3645,1815,62,689,328,1059,95641
254,12,37.5,126.9,3760,2102,693,138,222,1509,95641
255,12,37.5,126.9,3724,2422,906,487,524,1451,95641
256,12,37.5,126.9,3161,2763,709,839,860,1170,21552
621,15,37.56,127.06,5224,1216,862,88,608,1134,51065
622,17,37.56,127.06,5470,1695,1184,589,450,693,51065
623,22,37.6,127.06,6182,1565,771,542,620,439,51065
624,12,37.56,127.06,5381,1093,494,577,427,1576,51065
625,11,37.56,127.06,4439,882,429,838,1484,1232,60269
626,12,37.56,127.06,3540,2036,643,609,1626,1048,72198
627,12,37.6,127.06,5481,2606,1488,701,751,1300,72198
628,17,37.6,127.06,6384,2757,901,485,253,832,41576
630,17,37.56,127.06,5652,1273,199,696,726,1829,32144
631,17,37.56,127.06,4588,482,175,731,1052,1035,60269
633,10,37.6,127.06,6058,964,41,920,385,1298,21808
634,22,37.6,127.06,7448,2359,342,475,460,203,43485
635,14,37.6,127.06,6617,1462,530,159,212,661,21808
636,11,37.6,127.06,7222,783,556,948,777,412,21808
637,12,37.6,127.06,7212,1048,847,612,554,142,21808
638,22,37.6,127.06,6002,2198,796,462,571,219,51065
639,16,37.6,127.06,6243,2174,571,231,581,231,51065
640,8,37.6,127.06,6282,814,268,853,257,1276,21808
641,12,37.56,127.06,5432,1360,41,635,921,1873,32144
